Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180724170127-13380-R02-C06	54	25137	465.500	2.397	255	255	118702.500
20180724170127-13381-R02-C06	39	17405	446.282	1.660	255	255	113801.923
20180724170127-13382-R02-C06	34	15681	461.206	1.495	255	255	117607.500
20180724170127-13383-R02-C06	22	10408	473.091	0.993	255	255	120638.182
20180724170127-13384-R02-C06	18	9489	527.167	0.905	255	255	134427.500
20180724170127-13385-R02-C06	26	13530	520.385	1.290	255	255	132698.077
20180724170127-13386-R02-C06	12	5693	474.417	0.543	255	255	120976.250
20180724170127-13387-R02-C06	24	12115	504.792	1.155	255	255	128721.875
20180724170127-13388-R02-C06	41	18627	454.317	1.776	255	255	115850.854
20180725093217-3600-R02-C06	50	21649	432.980	2.065	255	255	110409.900
20180725093217-3601-R02-C06	38	17696	465.684	1.688	255	255	118749.474
20180725093217-3602-R02-C06	39	20628	528.923	1.967	255	255	134875.385
20180725093217-3603-R02-C06	23	10519	457.348	1.003	255	255	116623.696
20180725093217-3604-R02-C06	21	8259	393.286	0.788	255	255	100287.857
20180725093217-3605-R02-C06	29	14645	505.000	1.397	255	255	128775.000
20180725093217-3606-R02-C06	12	4763	396.917	0.454	255	255	101213.750
20180725093217-3607-R02-C06	19	7123	374.895	0.679	255	255	95598.158
20180725093217-3608-R02-C06	35	14906	425.886	1.422	255	255	108600.857
20180725162820-13380-R02-C06	43	18033	419.372	1.720	255	255	106939.884
20180725162820-13381-R02-C06	28	16601	592.893	1.583	255	255	151187.679
20180725162820-13382-R02-C06	39	24085	617.564	2.297	255	255	157478.846
20180725162820-13383-R02-C06	20	10103	505.150	0.963	255	255	128813.250
20180725162820-13384-R02-C06	16	9353	584.562	0.892	255	255	149063.438
20180725162820-13385-R02-C06	33	16708	506.303	1.593	255	255	129107.273
20180725162820-13386-R02-C06	10	4505	450.500	0.430	255	255	114877.500
20180725162820-13387-R02-C06	15	5623	374.867	0.536	255	255	95591.000
20180725162820-13388-R02-C06	22	10452	475.091	0.997	255	255	121148.182
20180726093120-3600-R02-C06	36	15845	440.139	1.511	255	255	112235.417
20180726093120-3601-R02-C06	34	18958	557.588	1.808	255	255	142185.000
20180726093120-3602-R02-C06	52	27845	535.481	2.656	255	255	136547.596
20180726093120-3603-R02-C06	20	10266	513.300	0.979	255	255	130891.500
20180726093120-3604-R02-C06	7	3873	553.286	0.369	255	255	141087.857
20180726093120-3605-R02-C06	25	12946	517.840	1.235	255	255	132049.200
20180726093120-3606-R02-C06	3	1344	448.000	0.128	255	255	114240.000
20180726093120-3607-R02-C06	13	5789	445.308	0.552	255	255	113553.462
20180726093120-3608-R02-C06	17	9384	552.000	0.895	255	255	140760.000
20180726103846-9600-R02-C06	21	9316	443.619	0.888	255	255	113122.857
20180726103846-9601-R02-C06	25	14977	599.080	1.428	255	255	152765.400
20180726103846-9602-R02-C06	44	26077	592.659	2.487	255	255	151128.068
20180726103846-9603-R02-C06	22	10548	479.455	1.006	255	255	122260.909
20180726103846-9604-R02-C06	7	4856	693.714	0.463	255	255	176897.143
20180726103846-9605-R02-C06	28	17018	607.786	1.623	255	255	154985.357
20180726103846-9606-R02-C06	5	1267	253.400	0.121	255	255	64617.000
20180726103846-9607-R02-C06	11	5320	483.636	0.507	255	255	123327.273
20180726103846-9608-R02-C06	15	9335	622.333	0.890	255	255	158695.000
20180726173820-6300-R02-C06	26	12144	467.077	1.158	255	255	119104.615
20180726173820-6301-R02-C06	29	16791	579.000	1.601	255	255	147645.000
20180726173820-6302-R02-C06	53	26482	499.660	2.526	255	255	127413.396
20180726173820-6303-R02-C06	20	7273	363.650	0.694	255	255	92730.750
20180726173820-6304-R02-C06	9	5805	645.000	0.554	255	255	164475.000
20180726173820-6305-R02-C06	32	13846	432.688	1.320	255	255	110335.312
20180726173820-6306-R02-C06	4	1346	336.500	0.128	255	255	85807.500
20180726173820-6307-R02-C06	12	5863	488.583	0.559	255	255	124588.750
20180726173820-6308-R02-C06	19	11399	599.947	1.087	255	255	152986.579
20180727121521-16080-R02-C06	27	10029	371.444	0.956	254.955	255	94708.889
20180727121521-16081-R02-C06	26	13878	533.769	1.324	255	255	136111.154
20180727121521-16082-R02-C06	73	32717	448.178	3.120	255	255	114285.411
20180727121521-16083-R02-C06	29	9984	344.276	0.952	255	255	87790.345
20180727121521-16084-R02-C06	14	8066	576.143	0.769	255	255	146916.429
20180727121521-16085-R02-C06	31	12028	388.000	1.147	255	255	98940.000
20180727121521-16086-R02-C06	7	2064	294.857	0.197	255	255	75188.571
20180727121521-16087-R02-C06	11	3174	288.545	0.303	255	255	73579.091
20180727121521-16088-R02-C06	16	9861	616.312	0.940	255	255	157159.688
20180727173536-600-R02-C06	22	10121	460.045	0.965	255	255	117311.591
20180727173536-601-R02-C06	27	13176	488.000	1.257	255	255	124440.000
20180727173536-602-R02-C06	66	30378	460.273	2.897	255	255	117369.545
20180727173536-603-R02-C06	23	9477	412.043	0.904	255	255	105071.087
20180727173536-604-R02-C06	9	5484	609.333	0.523	255	255	155380.000
20180727173536-605-R02-C06	24	10166	423.583	0.970	255	255	108013.750
20180727173536-606-R02-C06	8	1501	187.625	0.143	255	255	47844.375
20180727173536-607-R02-C06	9	3655	406.111	0.349	255	255	103558.333
20180727173536-608-R02-C06	17	10292	605.412	0.982	255	255	154380.000
20180728165149-17940-R02-C06	25	12058	482.320	1.150	255	255	122991.600
20180728165149-17941-R02-C06	28	17373	620.464	1.657	255	255	158218.393
20180728165149-17942-R02-C06	90	42492	472.133	4.052	255	255	120394.000
20180728165149-17943-R02-C06	15	6631	442.067	0.632	255	255	112727.000
20180728165149-17944-R02-C06	15	9416	627.733	0.898	255	255	160072.000
20180728165149-17945-R02-C06	23	11290	490.870	1.077	255	255	125171.739
20180728165149-17946-R02-C06	11	3765	342.273	0.359	255	255	87279.545
20180728165149-17947-R02-C06	5	3152	630.400	0.301	255	255	160752.000
20180728165149-17948-R02-C06	18	11469	637.167	1.094	255	255	162477.500
20180729131702-3600-R02-C06	28	14179	506.393	1.352	255	255	129130.179
20180729131702-3601-R02-C06	53	30042	566.830	2.865	255	255	144541.698
20180729131702-3602-R02-C06	140	60630	433.071	5.782	255	255	110433.214
20180729131702-3603-R02-C06	23	10850	471.739	1.035	255	255	120293.478
20180729131702-3604-R02-C06	24	13042	543.417	1.244	255	255	138571.250
20180729131702-3605-R02-C06	33	15836	479.879	1.510	255	255	122369.091
20180729131702-3606-R02-C06	18	4333	240.722	0.413	255	255	61384.167
20180729131702-3607-R02-C06	4	1183	295.750	0.113	255	255	75416.250
20180729131702-3608-R02-C06	19	11738	617.789	1.119	255	255	157536.316
20180723111937-7655-R02-C07	51	25875	507.353	2.468	255	255	129375.000
20180723111937-7656-R02-C07	37	19075	515.541	1.819	255	255	131462.838
20180723111937-7657-R02-C07	37	20633	557.649	1.968	255	255	142200.405
20180723111937-7658-R02-C07	46	27753	603.326	2.647	255	255	153848.152
20180723111937-7659-R02-C07	38	22109	581.816	2.108	255	255	148363.026
20180723111937-7660-R02-C07	49	25379	517.939	2.420	255	255	132074.388
20180723111937-7661-R02-C07	29	16886	582.276	1.610	255	255	148480.345
20180723111937-7662-R02-C07	37	22574	610.108	2.153	255	255	155577.568
20180723111937-7663-R02-C07	44	27378	622.227	2.611	254.981	255	158662.159
20180723170240-2375-R02-C07	61	28160	461.639	2.686	255	255	117718.033
20180723170240-2376-R02-C07	45	17912	398.044	1.708	255	255	101501.333
20180723170240-2377-R02-C07	37	18883	510.351	1.801	255	255	130139.595
20180723170240-2378-R02-C07	49	24474	499.469	2.334	255	255	127364.694
20180723170240-2379-R02-C07	44	22884	520.091	2.182	255	255	132623.182
20180723170240-2380-R02-C07	50	22019	440.380	2.100	255	255	112296.900
20180723170240-2381-R02-C07	31	18572	599.097	1.771	255	255	152769.677
20180723170240-2382-R02-C07	47	22994	489.234	2.193	254.994	255	124749.255
20180723170240-2383-R02-C07	41	23071	562.707	2.200	255	255	143490.366
20180724111727-7655-R02-C07	60	27211	453.517	2.595	255	255	115646.750
20180724111727-7656-R02-C07	57	23190	406.842	2.212	255	255	103744.737
20180724111727-7657-R02-C07	47	22736	483.745	2.168	255	255	123354.894
20180724111727-7658-R02-C07	62	29339	473.210	2.798	255	255	120668.468
20180724111727-7659-R02-C07	49	25914	528.857	2.471	254.984	255	134853.367
