Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180726100534-6606-R02-C06	170	87682	515.776	8.362	254.994	255	131521.500
20180726100534-6607-R02-C06	186	88023	473.242	8.395	255	255	120676.694
20180726100534-6608-R02-C06	280	127633	455.832	12.172	254.998	255	116236.286
20180726171145-3300-R02-C06	329	149356	453.970	14.244	255	255	115762.249
20180726171145-3301-R02-C06	403	196407	487.362	18.731	255	255	124277.382
20180726171145-3302-R02-C06	261	118043	452.272	11.257	255	255	115329.368
20180726171145-3303-R02-C06	168	81640	485.952	7.786	255	255	123917.857
20180726171145-3304-R02-C06	104	47480	456.538	4.528	254.985	255	116414.856
20180726171145-3305-R02-C06	140	64863	463.307	6.186	254.996	255	118141.500
20180726171145-3306-R02-C06	195	99665	511.103	9.505	254.992	255	130329.846
20180726171145-3307-R02-C06	204	96944	475.216	9.245	255	255	121180.000
20180726171145-3308-R02-C06	302	142960	473.377	13.634	255	255	120711.258
20180727115004-13080-R02-C06	479	211327	441.184	20.154	255	255	112501.848
20180727115004-13081-R02-C06	562	268873	478.422	25.642	255	255	121997.536
20180727115004-13082-R02-C06	480	209949	437.394	20.022	255	255	111535.406
20180727115004-13083-R02-C06	296	136706	461.845	13.037	255	255	117770.372
20180727115004-13084-R02-C06	178	80152	450.292	7.644	255	255	114824.494
20180727115004-13085-R02-C06	281	119646	425.786	11.410	254.995	255	108574.644
20180727115004-13086-R02-C06	346	165389	478.003	15.773	255	255	121890.737
20180727115004-13087-R02-C06	336	149105	443.765	14.220	255	255	113160.045
20180727115004-13088-R02-C06	521	238935	458.608	22.787	254.998	255	116944.664
20180727170446-3300-R02-C06	552	235149	425.995	22.426	255	255	108628.614
20180727170446-3301-R02-C06	530	265216	500.408	25.293	255	255	127603.925
20180727170446-3302-R02-C06	470	210460	447.787	20.071	254.998	255	114185.202
20180727170446-3303-R02-C06	325	149737	460.729	14.280	255	255	117485.954
20180727170446-3304-R02-C06	171	80151	468.719	7.644	254.995	255	119521.930
20180727170446-3305-R02-C06	285	120719	423.575	11.513	254.992	255	108010.842
20180727170446-3306-R02-C06	335	163573	488.278	15.600	254.999	255	124510.030
20180727170446-3307-R02-C06	350	158100	451.714	15.078	255	255	115187.143
20180727170446-3308-R02-C06	480	230822	480.879	22.013	254.997	255	122623.125
20180728162432-14940-R02-C06	717	302163	421.427	28.817	255	255	107463.828
20180728162432-14941-R02-C06	700	334242	477.489	31.876	255	255	121759.586
20180728162432-14942-R02-C06	668	317830	475.793	30.311	255	255	121327.320
20180728162432-14943-R02-C06	543	240878	443.606	22.972	255	255	113119.503
20180728162432-14944-R02-C06	320	141733	442.916	13.517	254.998	255	112942.688
20180728162432-14945-R02-C06	453	196492	433.757	18.739	255	255	110608.079
20180728162432-14946-R02-C06	517	247954	479.602	23.647	254.998	255	122297.901
20180728162432-14947-R02-C06	555	246321	443.822	23.491	254.993	255	113173.135
20180728162432-14948-R02-C06	582	286040	491.478	27.279	255	255	125326.804
20180729125041-600-R02-C06	738	324699	439.972	30.966	255	255	112192.744
20180729125041-601-R02-C06	701	328389	468.458	31.318	254.998	255	119456.041
20180729125041-602-R02-C06	732	357899	488.933	34.132	255	255	124677.930
20180729125041-603-R02-C06	658	293745	446.421	28.014	255	255	113837.348
20180729125041-604-R02-C06	457	203636	445.593	19.420	255	255	113626.214
20180729125041-605-R02-C06	611	261997	428.800	24.986	255	255	109344.083
20180729125041-606-R02-C06	596	286771	481.159	27.349	255	255	122695.646
20180729125041-607-R02-C06	608	279771	460.150	26.681	255	255	117338.166
20180729125041-608-R02-C06	586	290723	496.114	27.726	255	255	126509.155
20180723104230-4655-R02-C07	67	35256	526.209	3.362	255	255	134183.284
20180723104230-4656-R02-C07	58	30890	532.586	2.946	255	255	135809.483
20180723104230-4657-R02-C07	55	27914	507.527	2.662	255	255	129419.455
20180723104230-4658-R02-C07	31	17281	557.452	1.648	255	255	142150.161
20180723104230-4659-R02-C07	32	18496	578.000	1.764	255	255	147390.000
20180723104230-4660-R02-C07	39	20532	526.462	1.958	255	255	134247.692
20180723104230-4661-R02-C07	25	12742	509.680	1.215	255	255	129968.400
20180723104230-4662-R02-C07	35	19167	547.629	1.828	255	255	139645.286
20180723104230-4663-R02-C07	25	13399	535.960	1.278	255	255	136669.800
20180723162902-12110-R02-C07	65	32714	503.292	3.120	255	255	128339.538
20180723162902-12111-R02-C07	59	33688	570.983	3.213	255	255	145600.678
20180723162902-12112-R02-C07	63	32148	510.286	3.066	254.991	255	130114.762
20180723162902-12113-R02-C07	39	21786	558.615	2.078	255	255	142446.923
20180723162902-12114-R02-C07	34	20479	602.324	1.953	255	255	153592.500
20180723162902-12115-R02-C07	44	23637	537.205	2.254	255	255	136987.159
20180723162902-12116-R02-C07	26	12254	471.308	1.169	255	255	120183.462
20180723162902-12117-R02-C07	33	17569	532.394	1.676	255	255	135760.455
20180723162902-12118-R02-C07	28	13900	496.429	1.326	255	255	126589.286
20180724092856-875-R02-C07	115	54125	470.652	5.162	255	255	120016.304
20180724092856-876-R02-C07	104	50429	484.894	4.809	255	255	123648.029
20180724092856-877-R02-C07	109	55948	513.284	5.336	255	255	130887.523
20180724092856-878-R02-C07	64	31499	492.172	3.004	255	255	125503.828
20180724092856-879-R02-C07	52	26255	504.904	2.504	255	255	128750.481
20180724092856-880-R02-C07	67	32424	483.940	3.092	255	255	123404.776
20180724092856-881-R02-C07	49	24259	495.082	2.314	255	255	126245.816
20180724092856-882-R02-C07	60	27582	459.700	2.630	255	255	117223.500
20180724092856-883-R02-C07	40	17275	431.875	1.647	255	255	110128.125
20180724163050-10655-R02-C07	141	65502	464.553	6.247	255	255	118461.064
20180724163050-10656-R02-C07	140	65449	467.493	6.242	255	255	119210.679
20180724163050-10657-R02-C07	129	64854	502.744	6.185	255	255	128199.767
