Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180725091930-2376-R02-C07	151	69140	457.881	6.594	255	255	116759.603
20180725091930-2377-R02-C07	76	36362	478.447	3.468	255	255	122004.079
20180725091930-2378-R02-C07	118	52825	447.669	5.038	255	255	114155.720
20180725091930-2379-R02-C07	59	30234	512.441	2.883	255	255	130672.373
20180725091930-2380-R02-C07	129	59067	457.884	5.633	255	255	116760.349
20180725091930-2381-R02-C07	67	33814	504.687	3.225	255	255	128695.075
20180725091930-2382-R02-C07	77	31106	403.974	2.966	255	255	103013.377
20180725091930-2383-R02-C07	80	41930	524.125	3.999	255	255	133651.875
20180725161632-12155-R02-C07	146	65790	450.616	6.274	255	255	114907.192
20180725161632-12156-R02-C07	170	80781	475.182	7.704	255	255	121171.500
20180725161632-12157-R02-C07	92	44982	488.935	4.290	254.989	255	124675.598
20180725161632-12158-R02-C07	128	59394	464.016	5.664	255	255	118323.984
20180725161632-12159-R02-C07	71	32651	459.873	3.114	255	255	117267.676
