Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723113406-9157-R02-C07	26	14480	556.923	1.381	255	255	142015.385
20180723113406-9158-R02-C07	30	13301	443.367	1.268	255	255	113058.500
20180723113406-9159-R02-C07	22	11628	528.545	1.109	255	255	134779.091
20180723113406-9160-R02-C07	30	13850	461.667	1.321	255	255	117725.000
20180723113406-9161-R02-C07	24	12884	536.833	1.229	255	255	136892.500
20180723113406-9162-R02-C07	38	18693	491.921	1.783	255	255	125439.868
20180723113406-9163-R02-C07	23	12675	551.087	1.209	255	255	140527.174
20180723172229-3875-R02-C07	30	11032	367.733	1.052	255	255	93772.000
20180723172229-3876-R02-C07	45	19762	439.156	1.885	255	255	111984.667
20180723172229-3877-R02-C07	45	19314	429.200	1.842	255	255	109446.000
20180723172229-3878-R02-C07	37	14280	385.946	1.362	255	255	98416.216
20180723172229-3879-R02-C07	25	10187	407.480	0.972	255	255	103907.400
20180723172229-3880-R02-C07	33	14659	444.212	1.398	255	255	113274.091
20180723172229-3881-R02-C07	33	13984	423.758	1.334	255	255	108058.182
20180723172229-3882-R02-C07	45	17485	388.556	1.667	255	255	99081.667
20180723172229-3883-R02-C07	40	19658	491.450	1.875	255	255	125319.750
20180724113833-9155-R02-C07	25	9599	383.960	0.915	255	255	97909.800
20180724113833-9156-R02-C07	33	12054	365.273	1.150	255	255	93144.545
20180724113833-9157-R02-C07	32	14505	453.281	1.383	255	255	115586.719
20180724113833-9158-R02-C07	32	10719	334.969	1.022	255	255	85417.031
20180724113833-9159-R02-C07	19	8225	432.895	0.784	255	255	110388.158
20180724113833-9160-R02-C07	29	9966	343.655	0.950	255	255	87632.069
20180724113833-9161-R02-C07	32	12842	401.312	1.225	255	255	102334.688
20180724113833-9162-R02-C07	33	10714	324.667	1.022	255	255	82790.000
20180724113833-9163-R02-C07	30	16215	540.500	1.546	255	255	137827.500
20180724171552-15155-R02-C07	17	7331	431.235	0.699	255	255	109965.000
20180724171552-15156-R02-C07	22	9986	453.909	0.952	255	255	115746.818
20180724171552-15157-R02-C07	29	13533	466.655	1.291	255	255	118997.069
20180724171552-15158-R02-C07	28	9161	327.179	0.874	255	255	83430.536
20180724171552-15159-R02-C07	24	8535	355.625	0.814	255	255	90684.375
20180724171552-15160-R02-C07	32	12190	380.938	1.163	255	255	97139.062
20180724171552-15161-R02-C07	27	9312	344.889	0.888	255	255	87946.667
20180724171552-15162-R02-C07	32	11201	350.031	1.068	255	255	89257.969
20180724171552-15163-R02-C07	25	14561	582.440	1.389	255	255	148522.200
20180725094541-5375-R02-C07	19	7586	399.263	0.723	255	255	101812.105
20180725094541-5376-R02-C07	24	10469	436.208	0.998	255	255	111233.125
20180725094541-5377-R02-C07	22	9644	438.364	0.920	255	255	111782.727
20180725094541-5378-R02-C07	21	6287	299.381	0.600	255	255	76342.143
20180725094541-5379-R02-C07	14	4892	349.429	0.467	255	255	89104.286
20180725094541-5380-R02-C07	19	7720	406.316	0.736	255	255	103610.526
20180725094541-5381-R02-C07	19	7975	419.737	0.761	255	255	107032.895
20180725094541-5382-R02-C07	22	8419	382.682	0.803	255	255	97583.864
20180725094541-5383-R02-C07	28	14332	511.857	1.367	255	255	130523.571
20180725164220-15155-R02-C07	11	5961	541.909	0.568	255	255	138186.818
20180725164220-15156-R02-C07	19	8698	457.789	0.830	255	255	116736.316
20180725164220-15157-R02-C07	22	11446	520.273	1.092	255	255	132669.545
20180725164220-15158-R02-C07	17	7206	423.882	0.687	255	255	108090.000
20180725164220-15159-R02-C07	9	3295	366.111	0.314	255	255	93358.333
20180725164220-15160-R02-C07	17	7386	434.471	0.704	255	255	110790.000
20180725164220-15161-R02-C07	16	7456	466.000	0.711	255	255	118830.000
20180725164220-15162-R02-C07	20	8729	436.450	0.832	255	255	111294.750
20180725164220-15163-R02-C07	21	12020	572.381	1.146	255	255	145957.143
20180726094504-5375-R02-C07	26	9650	371.154	0.920	255	255	94644.231
20180726094504-5376-R02-C07	20	9296	464.800	0.887	255	255	118524.000
20180726094504-5377-R02-C07	16	6749	421.812	0.644	255	255	107562.188
20180726094504-5378-R02-C07	18	6646	369.222	0.634	255	255	94151.667
20180726094504-5379-R02-C07	16	5466	341.625	0.521	255	255	87114.375
20180726094504-5380-R02-C07	18	6713	372.944	0.640	255	255	95100.833
20180726094504-5381-R02-C07	19	9091	478.474	0.867	255	255	122010.789
20180726094504-5382-R02-C07	20	7946	397.300	0.758	255	255	101311.500
20180726094504-5383-R02-C07	25	13885	555.400	1.324	255	255	141627.000
20180726105156-11375-R02-C07	11	6586	598.727	0.628	255	255	152675.455
20180726105156-11376-R02-C07	9	4266	474.000	0.407	255	255	120870.000
20180726105156-11377-R02-C07	5	2417	483.400	0.231	255	255	123267.000
20180726105156-11378-R02-C07	8	4065	508.125	0.388	255	255	129571.875
20180726105156-11379-R02-C07	5	2769	553.800	0.264	255	255	141219.000
20180726105156-11380-R02-C07	6	3527	587.833	0.336	255	255	149897.500
20180726105156-11381-R02-C07	10	6228	622.800	0.594	255	255	158814.000
20180726105156-11382-R02-C07	5	1751	350.200	0.167	255	255	89301.000
20180726105156-11383-R02-C07	6	4475	745.833	0.427	255	255	190187.500
20180726175235-8075-R02-C07	16	7817	488.562	0.745	255	255	124583.438
